"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
2016,"ALABAMA","AL","ELMORE",1051,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",8443,37260,20220315,"TOTAL"
2016,"ALABAMA","AL","ELMORE",1051,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",27634,37260,20220315,"TOTAL"
2016,"ALABAMA","AL","ELMORE",1051,"US PRESIDENT","OTHER","OTHER",1183,37260,20220315,"TOTAL"
2016,"ALABAMA","AL","ESCAMBIA",1053,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4605,14845,20220315,"TOTAL"
2016,"ALABAMA","AL","ESCAMBIA",1053,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",9935,14845,20220315,"TOTAL"
2016,"ALABAMA","AL","ESCAMBIA",1053,"US PRESIDENT","OTHER","OTHER",305,14845,20220315,"TOTAL"
2016,"ALABAMA","AL","ETOWAH",1055,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",10442,44164,20220315,"TOTAL"
2016,"ALABAMA","AL","ETOWAH",1055,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",32353,44164,20220315,"TOTAL"
2016,"ALABAMA","AL","ETOWAH",1055,"US PRESIDENT","OTHER","OTHER",1369,44164,20220315,"TOTAL"
2016,"ALABAMA","AL","FAYETTE",1057,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",1362,8249,20220315,"TOTAL"
2016,"ALABAMA","AL","FAYETTE",1057,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",6712,8249,20220315,"TOTAL"
2016,"ALABAMA","AL","FAYETTE",1057,"US PRESIDENT","OTHER","OTHER",175,8249,20220315,"TOTAL"
2016,"ALABAMA","AL","FRANKLIN",1059,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",2197,12040,20220315,"TOTAL"
2016,"ALABAMA","AL","FRANKLIN",1059,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",9466,12040,20220315,"TOTAL"
2016,"ALABAMA","AL","FRANKLIN",1059,"US PRESIDENT","OTHER","OTHER",377,12040,20220315,"TOTAL"
2016,"ALABAMA","AL","GENEVA",1061,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",1525,11758,20220315,"TOTAL"
2016,"ALABAMA","AL","GENEVA",1061,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",9994,11758,20220315,"TOTAL"
2016,"ALABAMA","AL","GENEVA",1061,"US PRESIDENT","OTHER","OTHER",239,11758,20220315,"TOTAL"
2016,"ALABAMA","AL","GREENE",1063,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4013,4880,20220315,"TOTAL"
2016,"ALABAMA","AL","GREENE",1063,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",838,4880,20220315,"TOTAL"
2016,"ALABAMA","AL","GREENE",1063,"US PRESIDENT","OTHER","OTHER",29,4880,20220315,"TOTAL"
2016,"ALABAMA","AL","HALE",1065,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4775,8040,20220315,"TOTAL"
2016,"ALABAMA","AL","HALE",1065,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",3173,8040,20220315,"TOTAL"
2016,"ALABAMA","AL","HALE",1065,"US PRESIDENT","OTHER","OTHER",92,8040,20220315,"TOTAL"
2016,"ALABAMA","AL","HENRY",1067,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",2292,8072,20220315,"TOTAL"
2016,"ALABAMA","AL","HENRY",1067,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",5632,8072,20220315,"TOTAL"
2016,"ALABAMA","AL","HENRY",1067,"US PRESIDENT","OTHER","OTHER",148,8072,20220315,"TOTAL"
2016,"ALABAMA","AL","HOUSTON",1069,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",10664,42639,20220315,"TOTAL"
2016,"ALABAMA","AL","HOUSTON",1069,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",30728,42639,20220315,"TOTAL"
2016,"ALABAMA","AL","HOUSTON",1069,"US PRESIDENT","OTHER","OTHER",1247,42639,20220315,"TOTAL"
2016,"ALABAMA","AL","JACKSON",1071,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",3673,20984,20220315,"TOTAL"
2016,"ALABAMA","AL","JACKSON",1071,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",16672,20984,20220315,"TOTAL"
2016,"ALABAMA","AL","JACKSON",1071,"US PRESIDENT","OTHER","OTHER",639,20984,20220315,"TOTAL"
2016,"ALABAMA","AL","JEFFERSON",1073,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",156873,304191,20220315,"TOTAL"
2016,"ALABAMA","AL","JEFFERSON",1073,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",134768,304191,20220315,"TOTAL"
2016,"ALABAMA","AL","JEFFERSON",1073,"US PRESIDENT","OTHER","OTHER",12550,304191,20220315,"TOTAL"
2016,"ALABAMA","AL","LAMAR",1075,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",1036,6966,20220315,"TOTAL"
2016,"ALABAMA","AL","LAMAR",1075,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",5823,6966,20220315,"TOTAL"
2016,"ALABAMA","AL","LAMAR",1075,"US PRESIDENT","OTHER","OTHER",107,6966,20220315,"TOTAL"
2016,"ALABAMA","AL","LAUDERDALE",1077,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",9952,39525,20220315,"TOTAL"
2016,"ALABAMA","AL","LAUDERDALE",1077,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",27899,39525,20220315,"TOTAL"
2016,"ALABAMA","AL","LAUDERDALE",1077,"US PRESIDENT","OTHER","OTHER",1674,39525,20220315,"TOTAL"
2016,"ALABAMA","AL","LAWRENCE",1079,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",3627,14829,20220315,"TOTAL"
2016,"ALABAMA","AL","LAWRENCE",1079,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",10833,14829,20220315,"TOTAL"
